model_id,partition_id,sample,points,conditioning_lambda,x_low_bits,r1_bits,r2_bits,r3_bits,r4_bits,num_base_residual_streams,num_native_r5_streams,base_bits,enhancement_bits,full_bits,base_bpp,enhancement_bpp,full_bpp,base_y_mse,base_u_mse,base_v_mse,base_y_psnr,base_u_psnr,base_v_psnr,base_yuv_psnr_611,full_y_mse,full_u_mse,full_v_mse,full_y_psnr,full_u_psnr,full_v_psnr,full_yuv_psnr_611,hard_full_max_abs_difference,seconds
RWT14,27,RWT14/mesh_P27.h5,50119,32768,1024,424,1968,7088,19752,4,0,30256,49768,80024,0.6036832339033101,0.9929966679303258,1.596679901833636,0.000399684,1.64178e-05,1.20647e-05,33.9828,47.8469,49.1848,37.6160625,8.89843e-05,1.4166e-05,9.6636e-06,40.5069,48.4875,50.1486,42.7096875,0.0,4.220960438251495
RWT14,28,RWT14/mesh_P28.h5,50118,32768,1368,672,2520,8544,22600,4,0,35704,50688,86392,0.7123987389760166,1.0113731593439483,1.7237718983199648,0.00040485,1.65799e-05,1.57085e-05,33.9271,47.8042,48.0386,37.425675000000005,8.69218e-05,1.36004e-05,1.31866e-05,40.6087,48.6645,48.7987,42.639424999999996,0.0,4.351213924586773
RWT14,29,RWT14/mesh_P29.h5,50119,32768,1272,576,2520,8464,23160,4,0,35992,55224,91216,0.7181308485803787,1.1018575789620704,1.819988427542449,0.000443903,1.30213e-05,9.9627e-06,33.5271,48.8535,50.0162,37.504037499999995,8.89801e-05,1.15301e-05,8.79592e-06,40.5071,49.3817,50.5572,42.872687500000005,0.0,4.317196995019913
RWT14,3,RWT14/mesh_P3.h5,50119,32768,1216,352,1816,6336,19184,4,0,28904,52712,81616,0.5767074363016021,1.0517368662583053,1.6284443025599074,0.000437336,1.45216e-05,8.23402e-06,33.5918,48.3799,50.8439,37.596824999999995,9.21055e-05,1.36547e-05,7.9649e-06,40.3571,48.6472,50.9882,42.72225,0.0,4.241144299507141
RWT14,30,RWT14/mesh_P30.h5,50119,32768,1384,512,2288,8248,22688,4,0,35120,52768,87888,0.7007322572277979,1.05285420698737,1.753586464215168,0.000436058,1.45782e-05,1.10946e-05,33.6046,48.3629,49.5489,37.442425,8.82452e-05,1.1913e-05,8.77402e-06,40.5431,49.2398,50.568,42.8833,0.0,4.302499257028103
RWT14,31,RWT14/mesh_P31.h5,50119,32768,1304,608,2656,8600,23512,4,0,36680,51752,88432,0.7318581775374609,1.032582453760051,1.7644406312975118,0.000430282,1.52884e-05,1.20343e-05,33.6625,48.1564,49.1958,37.4159,8.72797e-05,1.29846e-05,9.57545e-06,40.5909,48.8657,50.1884,42.8249375,0.0,4.3148389756679535
RWT14,4,RWT14/mesh_P4.h5,50118,32768,1064,472,1816,6720,20704,4,0,30776,60464,91240,0.6140707929286883,1.2064328185482263,1.8205036114769144,0.00045578,1.34525e-05,8.57225e-06,33.4124,48.712,50.6691,37.4819375,9.11975e-05,1.24097e-05,8.18791e-06,40.4002,49.0624,50.8683,42.791487499999995,0.0,4.176405064761639
RWT14,5,RWT14/mesh_P5.h5,50119,32768,1280,608,2288,8440,25584,4,0,38200,70208,108408,0.7621859973263633,1.4008260340389873,2.1630120313653505,0.00065335,2.23667e-05,1.20227e-05,31.8485,46.504,49.2,35.849375,9.03336e-05,1.65021e-05,9.98917e-06,40.4415,47.8246,50.0047,42.5597875,0.0,4.298254191875458
RWT14,6,RWT14/mesh_P6.h5,50119,32768,1208,480,1840,6984,21832,4,0,32344,65152,97496,0.6453440810870129,1.2999461282148486,1.9452902093018616,0.000510471,1.34771e-05,8.8599e-06,32.9203,48.704,50.5257,37.093937499999996,9.00547e-05,1.28932e-05,8.73129e-06,40.4549,48.8964,50.5892,42.776875000000004,0.0,4.161513589322567
RWT14,7,RWT14/mesh_P7.h5,50119,32768,1408,672,2616,9656,28648,4,0,43000,77912,120912,0.8579580598176341,1.5545401943374768,2.412498254155111,0.000919231,1.80902e-05,1.14377e-05,30.3658,47.4256,49.4166,34.879625,8.5143e-05,1.437e-05,9.86641e-06,40.6985,48.4254,50.0584,42.83435000000001,0.0,4.252251140773296
RWT14,8,RWT14/mesh_P8.h5,50118,32768,1152,520,2232,7664,23032,4,0,34600,64936,99536,0.6903707250887905,1.2956622371203959,1.9860329622091863,0.000565859,1.76213e-05,1.15522e-05,32.4729,47.5396,49.3733,36.468787500000005,9.13247e-05,1.51228e-05,9.89344e-06,40.3941,48.2037,50.0465,42.57685,0.0,4.318589024245739
RWT14,9,RWT14/mesh_P9.h5,50119,32768,1040,560,1928,7376,23328,4,0,34232,67872,102104,0.6830144256669127,1.3542169636265688,2.0372313892934817,0.000574461,1.60896e-05,9.05054e-06,32.4074,47.9346,50.4333,36.601537500000006,9.27517e-05,1.42524e-05,8.44558e-06,40.3268,48.4611,50.7337,42.64445,0.0,4.296326316893101
RWT144,0,RWT144/cabbage_model_P0.h5,64477,32768,2000,952,3736,11776,30712,4,0,49176,66616,115792,0.762690571831816,1.033174620407277,1.795865192239093,0.000405631,0.000107514,7.94752e-05,33.9187,39.6853,40.9977,35.5244,7.47932e-05,4.51351e-05,5.19601e-05,41.2614,43.4549,42.8433,41.733325,0.0,5.44459030777216
RWT144,1,RWT144/cabbage_model_P1.h5,64478,32768,1920,976,3288,10048,24824,4,0,41056,54856,95912,0.6367443158906914,0.8507708055460778,1.4875151214367692,0.000383382,8.11967e-05,5.31528e-05,34.1637,40.9046,42.7447,36.0789375,7.05076e-05,3.90939e-05,3.91368e-05,41.5176,44.0789,44.0741,42.157325,0.0,5.457211837172508
RWT144,10,RWT144/cabbage_model_P10.h5,64477,32768,1856,1112,4088,12392,30256,4,0,49704,60624,110328,0.7708795384400638,0.9402422569288273,1.7111217953688913,0.000345984,7.4649e-05,3.49651e-05,34.6094,41.2698,44.5637,36.686237500000004,8.23277e-05,4.08058e-05,3.13599e-05,40.8445,43.8928,45.0363,41.749512499999994,0.0,5.446791164577007
RWT144,11,RWT144/cabbage_model_P11.h5,64478,32768,1624,1088,3736,11696,26664,4,0,44808,55600,100408,0.6949347064114892,0.8623096249883682,1.5572443313998574,0.000327005,9.74285e-05,4.54411e-05,34.8545,40.1131,43.4255,36.583200000000005,8.09789e-05,4.56021e-05,3.60969e-05,40.9163,43.4101,44.4253,41.66665,0.0,5.508603177964687
RWT144,12,RWT144/cabbage_model_P12.h5,64477,32768,1544,592,2288,7536,14760,4,0,26720,27992,54712,0.41441134047799993,0.43413930548877894,0.8485506459667789,0.000137556,4.54998e-05,3.24575e-05,38.6152,43.4199,44.8869,39.999750000000006,6.33927e-05,3.42082e-05,2.83256e-05,41.9796,44.6587,45.4782,42.7518125,0.0,5.2183366268873215
