dataset,sample,method,endpoint,metric,operating_point,physical_bpp,quality,pareto_retained,dominating_points
CTC,House_without_roof_00057_vox12,Original_Unicorn,Original Unicorn,YUV611,R02,1.0826686080624985,40.071175,True,[]
CTC,House_without_roof_00057_vox12,Original_Unicorn,Original Unicorn,YUV611,R03,0.8155264919066686,38.5497625,True,[]
CTC,House_without_roof_00057_vox12,Original_Unicorn,Original Unicorn,YUV611,R04,0.6081243703267547,35.54305000000001,True,[]
CTC,House_without_roof_00057_vox12,Original_Unicorn,Original Unicorn,YUV611,R05,0.4605711374799046,34.8187375,True,[]
CTC,House_without_roof_00057_vox12,Original_Unicorn,Original Unicorn,YUV611,R06,0.28487866447915905,33.418875,True,[]
CTC,House_without_roof_00057_vox12,Original_Unicorn,Original Unicorn,YUV611,R07,0.22241796588601792,32.8710625,True,[]
CTC,House_without_roof_00057_vox12,Original_Unicorn,Original Unicorn,YUV611,R08,0.17771031473092522,32.4065625,True,[]
CTC,House_without_roof_00057_vox12,Original_Unicorn,Original Unicorn,YUV611,R09,0.1503168345623455,32.000625,True,[]
CTC,House_without_roof_00057_vox12,Ours,Ours Base,Y,16k,0.8264472559394235,35.1189,True,[]
CTC,House_without_roof_00057_vox12,Ours,Ours Base,Y,1k,0.2649939314193673,30.4925,True,[]
CTC,House_without_roof_00057_vox12,Ours,Ours Base,Y,2k,0.4598171279372291,31.7711,True,[]
CTC,House_without_roof_00057_vox12,Ours,Ours Base,Y,32k,1.064951858676833,35.7523,True,[]
CTC,House_without_roof_00057_vox12,Ours,Ours Base,Y,4k,0.7180860201969788,34.6994,True,[]
CTC,House_without_roof_00057_vox12,Ours,Ours Base,Y,512,0.21503131222615338,29.9656,True,[]
CTC,House_without_roof_00057_vox12,Ours,Ours Base,Y,8k,0.6287268148768392,34.2452,True,[]
CTC,House_without_roof_00057_vox12,Ours,Ours Base,YUV611,16k,0.8264472559394235,37.36535,True,[]
CTC,House_without_roof_00057_vox12,Ours,Ours Base,YUV611,1k,0.2649939314193673,33.0796375,True,[]
CTC,House_without_roof_00057_vox12,Ours,Ours Base,YUV611,2k,0.4598171279372291,34.267575,True,[]
CTC,House_without_roof_00057_vox12,Ours,Ours Base,YUV611,32k,1.064951858676833,37.9511875,True,[]
CTC,House_without_roof_00057_vox12,Ours,Ours Base,YUV611,4k,0.7180860201969788,36.92865,True,[]
CTC,House_without_roof_00057_vox12,Ours,Ours Base,YUV611,512,0.21503131222615338,32.6621125,True,[]
CTC,House_without_roof_00057_vox12,Ours,Ours Base,YUV611,8k,0.6287268148768392,36.556149999999995,True,[]
CTC,House_without_roof_00057_vox12,Ours,Ours Full,Y,16k,1.1249426397964835,38.7661,True,[]
CTC,House_without_roof_00057_vox12,Ours,Ours Full,Y,1k,0.28264963408057137,30.9208,True,[]
CTC,House_without_roof_00057_vox12,Ours,Ours Full,Y,2k,0.5229872884633034,32.9225,True,[]
