configuration,dataset,endpoint,lambda,num_blocks,points,physical_bits,physical_bpp,y_mse,y_psnr,u_mse,u_psnr,v_mse,v_psnr,yuv611,x_low_bits,r1_bits,r2_bits,r3_bits,r4_bits,r5_bits
R04_8k256_L4096,Owlii,Official_Full,4096.0,8.0,700286.25,128708.0,0.1851373753630848,0.00015954114730367555,38.05281261910471,3.806493472187784e-05,44.237094646404614,2.0642745731024597e-05,47.007068648431265,39.94512987618302,12106.0,388.0,4924.0,17112.0,45628.0,48550.0
R04_8k256_L4096,RWTT_Train,B_native,4096.0,20.0,1280449.6666666667,181930.66666666666,0.131618277507766,0.0018324973994055238,30.68979974200886,0.00012090529711649915,40.928729127720686,4.92977147696502e-05,46.30344974831629,33.92137216601127,19682.666666666668,1354.6666666666667,10122.666666666666,36650.666666666664,114120.0,203338.66666666666
R04_8k256_L4096,RWTT_Train,B_unpool,4096.0,20.0,1280449.6666666667,181930.66666666666,0.131618277507766,0.0021217607541481683,28.33268934147318,0.0004198715650651416,33.85181834341471,5.1136612703407595e-05,44.22548229093539,31.00917958539864,19682.666666666668,1354.6666666666667,10122.666666666666,36650.666666666664,114120.0,203338.66666666666
R04_8k256_L4096,RWTT_Train,Canonical_Base,4096.0,20.0,1280449.6666666667,181930.66666666666,0.131618277507766,0.0012384764225334332,37.20718426840513,8.757092418621869e-05,46.06885781627404,3.777754051051366e-05,49.373249495499635,39.83565161527556,19682.666666666668,1354.6666666666667,10122.666666666666,36650.666666666664,114120.0,203338.66666666666
R04_8k256_L4096,RWTT_Train,Official_Full,4096.0,20.0,1280449.6666666667,385269.3333333333,0.2786473489002638,0.0006004298848679675,38.15971326361663,5.350977769639506e-05,46.287901971003265,3.1502063774945575e-05,48.69964210597672,40.49322795733497,19682.666666666668,1354.6666666666667,10122.666666666666,36650.666666666664,114120.0,203338.66666666666
R04_8k256_L4096,RWTT_Val,B_native,4096.0,28.0,2144542.0,370904.0,0.17295254651109654,0.0029089014300797095,25.362709948401697,0.00010547963137317898,39.7683139663433,8.250182980141214e-05,40.8353641916106,29.09749223104551,41800.0,1752.0,20568.0,74336.0,232448.0,501544.0
R04_8k256_L4096,RWTT_Val,B_unpool,4096.0,28.0,2144542.0,370904.0,0.17295254651109654,0.0031780075196801926,24.97845079516383,0.0003481483764830905,34.58235625724877,8.124467020390368e-05,40.90205119911634,28.169389028418507,41800.0,1752.0,20568.0,74336.0,232448.0,501544.0
R04_8k256_L4096,RWTT_Val,Canonical_Base,4096.0,28.0,2144542.0,370904.0,0.17295254651109654,0.0022259489870929084,26.524847927766547,7.44008053303969e-05,41.28422363531344,6.744052686564309e-05,41.71079045531183,30.26801270715307,41800.0,1752.0,20568.0,74336.0,232448.0,501544.0
R04_8k256_L4096,RWTT_Val,Official_Full,4096.0,28.0,2144542.0,872448.0,0.4068225290061934,0.0011044573983538207,29.56851031278901,5.549483650228347e-05,42.55747423776201,5.274838184622639e-05,42.777908586091094,32.84330558757339,41800.0,1752.0,20568.0,74336.0,232448.0,501544.0
R05_8k256_L2048,8i,B_native,2048.0,14.0,877508.25,138176.0,0.1570681894135413,0.0013024567514448111,29.4487820220731,0.0001608748095223384,39.527926319338434,0.0003206093726415021,39.497459157716925,31.964759701186743,17688.0,286.0,7850.0,28196.0,84156.0,102230.0
R05_8k256_L2048,8i,B_unpool,2048.0,14.0,877508.25,138176.0,0.1570681894135413,0.0015438560206618842,28.477759094537266,0.0007680337391201681,31.178833393496404,0.00035591714238806925,38.69584599749488,30.09265424477686,17688.0,286.0,7850.0,28196.0,84156.0,102230.0
R05_8k256_L2048,8i,Canonical_Base,2048.0,14.0,877508.25,138176.0,0.1570681894135413,0.000761410519885773,32.70291872851143,0.00012479381899952046,42.47884611125338,0.0002975503447376128,40.39711812318561,34.88668457568845,17688.0,286.0,7850.0,28196.0,84156.0,102230.0
R05_8k256_L2048,8i,Official_Full,2048.0,14.0,877508.25,240406.0,0.2761714299167184,0.0003015125372753964,35.57718020601881,8.006221455370313e-05,43.35087008278546,0.0001801639718042632,41.62320145621261,37.30464409688887,17688.0,286.0,7850.0,28196.0,84156.0,102230.0
R05_8k256_L2048,Owlii,B_native,2048.0,8.0,700286.25,64624.0,0.0925032026833004,0.0009267190982433265,30.43094765520652,9.27557316440772e-05,40.34235679691787,3.598072038439457e-05,44.73768427135545,33.45821587493906,12106.0,270.0,4094.0,13972.0,34182.0,28262.0
R05_8k256_L2048,Owlii,B_unpool,2048.0,8.0,700286.25,64624.0,0.0925032026833004,0.0014730340381460215,28.33711609238661,0.0009667009533224871,30.183117402981946,4.714109118753852e-05,43.36981696031517,30.446953864702095,12106.0,270.0,4094.0,13972.0,34182.0,28262.0
R05_8k256_L2048,Owlii,Canonical_Base,2048.0,8.0,700286.25,64624.0,0.0925032026833004,0.00037607804734043356,34.57020535553609,4.576135875013065e-05,43.46955248012057,2.5896574869021297e-05,46.15302318238768,37.1304759744656,12106.0,270.0,4094.0,13972.0,34182.0,28262.0
R05_8k256_L2048,Owlii,Official_Full,2048.0,8.0,700286.25,92886.0,0.13360870206282838,0.00022024266849636639,36.64669483465569,4.164799580893886e-05,43.85122219773286,2.3593448646702318e-05,46.474596184355995,38.77574842375287,12106.0,270.0,4094.0,13972.0,34182.0,28262.0
R05_8k256_L2048,RWTT_Train,B_native,2048.0,20.0,1280449.6666666667,153250.66666666666,0.11088499291323495,0.001964848924138359,29.695051992549327,0.000145790944501753,38.89198958693738,5.2644832974889794e-05,46.04339425610174,32.888211974791886,19682.666666666668,1058.6666666666667,8640.0,30914.666666666668,92954.66666666667,135378.66666666666
R05_8k256_L2048,RWTT_Train,B_unpool,2048.0,20.0,1280449.6666666667,153250.66666666666,0.11088499291323495,0.0024061089028401647,27.283843377973962,0.0007764371313692609,31.113072855902374,5.903307537847435e-05,43.52375399645555,29.792485890025215,19682.666666666668,1058.6666666666667,8640.0,30914.666666666668,92954.66666666667,135378.66666666666
R05_8k256_L2048,RWTT_Train,Canonical_Base,2048.0,20.0,1280449.6666666667,153250.66666666666,0.11088499291323495,0.0012500702781427352,37.5932941778795,8.832100183679273e-05,45.87615267920592,4.0486023834864175e-05,49.41869741005828,40.10682689456765,19682.666666666668,1058.6666666666667,8640.0,30914.666666666668,92954.66666666667,135378.66666666666
R05_8k256_L2048,RWTT_Train,Official_Full,2048.0,20.0,1280449.6666666667,288629.3333333333,0.209172946622075,0.0006602572004769969,38.828186839816446,6.21834883045225e-05,45.97645053413479,3.61198370645681e-05,48.9626934663471,40.988533129922565,19682.666666666668,1058.6666666666667,8640.0,30914.666666666668,92954.66666666667,135378.66666666666
R05_8k256_L2048,RWTT_Val,B_native,2048.0,28.0,2144542.0,311344.0,0.14517971669475346,0.0030544308021255816,25.150697093256966,0.00012843591974463547,38.91313499901992,8.700863158818993e-05,40.604376615747775,28.802711771788687,41800.0,1280.0,17520.0,62496.0,188248.0,357792.0
R05_8k256_L2048,RWTT_Val,B_unpool,2048.0,28.0,2144542.0,311344.0,0.14517971669475346,0.003463796633508227,24.60447614211816,0.0007135239384259202,31.465914519089914,9.124443870057104e-05,40.39793596079779,27.436338416574582,41800.0,1280.0,17520.0,62496.0,188248.0,357792.0
R05_8k256_L2048,RWTT_Val,Canonical_Base,2048.0,28.0,2144542.0,311344.0,0.14517971669475346,0.0022476778346019804,26.482659371782894,7.818715805182177e-05,41.06864572326619,7.172505797578222e-05,41.44329092039062,30.17598660929427,41800.0,1280.0,17520.0,62496.0,188248.0,357792.0
R05_8k256_L2048,RWTT_Val,Official_Full,2048.0,28.0,2144542.0,669136.0,0.31201813720598615,0.0011954625138299924,29.224640375256435,6.29377284796754e-05,42.01088935501994,5.936130906786624e-05,42.26496530325356,32.452962113726514,41800.0,1280.0,17520.0,62496.0,188248.0,357792.0
