run,configuration,point,profile,lambda,dataset,sequence,endpoint,num_blocks,points,physical_bits,physical_bpp,y_mse,y_psnr,u_mse,u_psnr,v_mse,v_psnr,yuv611,x_low_bits,r1_bits,r2_bits,r3_bits,r4_bits,r5_bits
external_family_probes_88blocks,DIAGNOSTIC_32k8k_L4096_OUT_OF_RANGE_UNKNOWN,4K_alt,32k8k,4096,8i,Longdress,B_unpool,16.0,857966.0,408304.0,0.475897646293676,0.0010639117106994915,29.730944107129243,0.00023045701721350264,36.374100634530876,0.00029382350954152033,35.31913458186071,31.259862482395878,19568.0,6088.0,27360.0,93040.0,262248.0,542784.0
external_family_probes_88blocks,DIAGNOSTIC_32k8k_L4096_OUT_OF_RANGE_UNKNOWN,4K_alt,32k8k,4096,8i,Longdress,B_native,16.0,857966.0,408304.0,0.475897646293676,0.0008856496933036973,30.52738023427766,0.0002071035329739174,36.83812492424801,0.00024733059633948195,36.06722155375556,32.008703485458696,19568.0,6088.0,27360.0,93040.0,262248.0,542784.0
external_family_probes_88blocks,DIAGNOSTIC_32k8k_L4096_OUT_OF_RANGE_UNKNOWN,4K_alt,32k8k,4096,8i,Longdress,Official_Full,16.0,857966.0,951088.0,1.1085381005774122,0.0002005520980108769,36.977727904273806,9.363765117533795e-05,40.285494887642166,0.00010114904487019299,39.95038213828057,37.7627805564457,19568.0,6088.0,27360.0,93040.0,262248.0,542784.0
external_family_probes_88blocks,DIAGNOSTIC_32k8k_L4096_OUT_OF_RANGE_UNKNOWN,4K_alt,32k8k,4096,8i,Loot,B_unpool,16.0,805285.0,109536.0,0.13602140856963685,0.00024386927651191815,36.128429101487725,1.210084266410029e-05,49.171843857474954,1.2352830732299744e-05,49.08233509566462,39.37809419525824,14384.0,1944.0,7112.0,25896.0,60200.0,92776.0
external_family_probes_88blocks,DIAGNOSTIC_32k8k_L4096_OUT_OF_RANGE_UNKNOWN,4K_alt,32k8k,4096,8i,Loot,B_native,16.0,805285.0,109536.0,0.13602140856963685,0.00020411544138472715,36.90124139553826,1.2277788006519431e-05,49.108798696031926,1.1800428870288159e-05,49.281022085739636,39.97465864437514,14384.0,1944.0,7112.0,25896.0,60200.0,92776.0
external_family_probes_88blocks,DIAGNOSTIC_32k8k_L4096_OUT_OF_RANGE_UNKNOWN,4K_alt,32k8k,4096,8i,Loot,Official_Full,16.0,805285.0,202312.0,0.25123030976610766,9.994538446351293e-05,40.00237257056732,1.1517823433095115e-05,49.38629583439403,1.149478003213769e-05,49.394993351161325,42.3494405761199,14384.0,1944.0,7112.0,25896.0,60200.0,92776.0
external_family_probes_88blocks,DIAGNOSTIC_32k8k_L4096_OUT_OF_RANGE_UNKNOWN,4K_alt,32k8k,4096,8i,Redandblack,B_unpool,8.0,757691.0,182496.0,0.24085808066876865,0.0002741897948995039,35.6194871330037,7.396333132160737e-05,41.30983536371578,0.0003703986204753653,34.31330639487544,36.16750806957668,14888.0,3072.0,13104.0,41856.0,109576.0,190184.0
external_family_probes_88blocks,DIAGNOSTIC_32k8k_L4096_OUT_OF_RANGE_UNKNOWN,4K_alt,32k8k,4096,8i,Redandblack,B_native,8.0,757691.0,182496.0,0.24085808066876865,0.00023201888356559597,36.3447666728757,6.935518351834718e-05,41.589210747595786,0.0002978434991875316,35.260118744900765,36.86474119121884,14888.0,3072.0,13104.0,41856.0,109576.0,190184.0
external_family_probes_88blocks,DIAGNOSTIC_32k8k_L4096_OUT_OF_RANGE_UNKNOWN,4K_alt,32k8k,4096,8i,Redandblack,Official_Full,8.0,757691.0,372680.0,0.4918627778342359,0.00010982260439347966,39.59308261406961,5.366873841288864e-05,42.7027861352162,0.00011440812118172184,39.41543146353964,39.95958916039668,14888.0,3072.0,13104.0,41856.0,109576.0,190184.0
external_family_probes_88blocks,DIAGNOSTIC_32k8k_L4096_OUT_OF_RANGE_UNKNOWN,4K_alt,32k8k,4096,8i,Soldier,B_unpool,16.0,1089091.0,247008.0,0.22680198440717994,0.0004250278763849853,33.71582584859928,1.7599406843046176e-05,47.54501969068404,1.381590521183262e-05,48.596206550381126,37.304522666582606,21912.0,5480.0,20560.0,61736.0,137320.0,209208.0
