configuration,point,profile,lambda,dataset,sequence,physical_bpp_B_native,physical_bpp_B_unpool,physical_bpp_Canonical_Base,physical_bpp_Official_Full,yuv611_B_native,yuv611_B_unpool,yuv611_Canonical_Base,yuv611_Official_Full,gain_native_db,gain_synthesis_db,native_r5_gap_db,canonical_to_full_gap_db,r5_delta_bpp
R04_8k256_L4096,4K,8k256,4096,Owlii,Dancer,0.12434654534369935,0.12434654534369935,0.12434654534369935,0.19004099493189827,34.08823600615549,32.31839385070661,37.28836640730111,40.25657624552487,1.7698421554488775,3.2001304011456213,6.168340239369378,2.968209838223757,0.06569444958819892
R04_8k256_L4096,4K,8k256,4096,Owlii,Exercise,0.08636951955792199,0.08636951955792199,0.08636951955792199,0.1163415409177924,35.311726878681114,32.817453427574286,39.01449740488951,40.04792166149323,2.494273451106828,3.702770526208397,4.736194782812113,1.0334242566037162,0.029972021359870413
R04_8k256_L4096,4K,8k256,4096,Owlii,Model,0.1439198485758375,0.1439198485758375,0.1439198485758375,0.28405713373520536,32.702988320362614,31.115242506334326,35.06318598802837,38.64289845261955,1.5877458140282883,2.3601976676657586,5.939910132256934,3.579712464591175,0.14013728515936785
R04_8k256_L4096,4K,8k256,4096,RWTT_Train,train_high,0.195475298392766,0.195475298392766,0.195475298392766,0.42158092092685784,27.825771060251018,27.133870312858996,29.5498843370908,32.374641858404964,0.6919007473920225,1.7241132768397804,4.548870798153946,2.824757521314165,0.22610562253409183
R04_8k256_L4096,4K,8k256,4096,RWTT_Train,train_low,0.003014039717806801,0.003014039717806801,0.003014039717806801,0.0031632496048269398,42.79682365986435,35.45097332045454,57.709163063876126,54.31558741292629,7.3458503394098145,14.912339404011774,11.51876375306194,-3.3935756509498347,0.00014920988702013874
R04_8k256_L4096,4K,8k256,4096,RWTT_Train,train_typical,0.19636549441272522,0.19636549441272522,0.19636549441272522,0.4111978761691067,31.14152177791843,30.442695122882398,32.247907444859756,34.789454600673665,0.6988266550360329,1.1063856669413248,3.6479328227552337,2.541547155813909,0.21483238175638147
R04_8k256_L4096,4K,8k256,4096,RWTT_Val,val28,0.17295254651109654,0.17295254651109654,0.17295254651109654,0.4068225290061934,29.09749223104551,28.169389028418507,30.26801270715307,32.84330558757339,0.9281032026270033,1.1705204761075585,3.7458133565278793,2.575292880420321,0.23386998249509688
R05_8k256_L2048,2K,8k256,2048,8i,Longdress,0.23462934428637033,0.23462934428637033,0.23462934428637033,0.519647631724334,27.63263443153126,27.120322505668547,28.634139033855014,33.61252756937642,0.5123119258627149,1.0015046023237524,5.979893137845156,4.978388535521404,0.2850182874379637
R05_8k256_L2048,2K,8k256,2048,8i,Loot,0.08978684565091861,0.08978684565091861,0.08978684565091861,0.12080195210391352,34.52602951160095,31.64056444510104,38.959216092066725,39.93239050787675,2.8854650664999113,4.433186580465772,5.406360996275794,0.9731744158100213,0.031015106452994906
R05_8k256_L2048,2K,8k256,2048,8i,Redandblack,0.15640148820561417,0.15640148820561417,0.15640148820561417,0.26279842310387747,32.23127463198854,29.834431201936553,34.60204706026543,37.0249942406528,2.3968434300519874,2.3707724282768865,4.7937196086642615,2.422947180387375,0.1063969348982633
R05_8k256_L2048,2K,8k256,2048,8i,Soldier,0.14745507951126213,0.14745507951126213,0.14745507951126213,0.20143771273474853,33.46910022962623,31.775298826401297,37.351336116566614,38.64866406964951,1.6938014032249313,3.8822358869403857,5.179563840023285,1.297327953082899,0.0539826332234864
R05_8k256_L2048,2K,8k256,2048,Owlii,Basketball,0.08300249806271406,0.08300249806271406,0.08300249806271406,0.10825189615393793,34.18546828951348,30.780860237000418,38.4148265482549,39.62453339484729,3.404608052513062,4.229358258741421,5.43906510533381,1.2097068465923897,0.025249398091223868
R05_8k256_L2048,2K,8k256,2048,Owlii,Dancer,0.10029086744592174,0.10029086744592174,0.10029086744592174,0.13602682475877373,33.17471705663556,30.317432276549972,36.879700845295574,38.973312582469994,2.8572847800855854,3.704983788660016,5.798595525834436,2.0936117371744203,0.03573595731285199
R05_8k256_L2048,2K,8k256,2048,Owlii,Exercise,0.06463143373092453,0.06463143373092453,0.06463143373092453,0.07889201484960512,34.37825684721039,30.75363863026965,38.4450436918518,39.062886431507586,3.624618216940739,4.066786844641413,4.684629584297198,0.6178427396557851,0.014260581118680588
