run,configuration,point,profile,lambda,dataset,sequence,stage,stage_index,num_blocks,points,stage_bits,cumulative_bits,stage_bpp,cumulative_bpp,mse_Y,psnr_Y,mse_U,psnr_U,mse_V,psnr_V,yuv611,x_rms,f_rms,d_rms
full_88blocks_v2,R03_32k8k_L8192,8K,32k8k,8192,8i,Loot,r4,4.0,16.0,805285.0,62376.0,113160.0,0.07745829116399784,0.14052167866035006,0.00012526027703686798,39.021866321090044,9.83406498132918e-06,50.072669263143695,9.923223250734146e-06,50.03347237862379,41.77966744603847,0.46060156515246303,0.04112401471237581,0.05769121118696465
full_88blocks_v2,R03_32k8k_L8192,8K,32k8k,8192,8i,Loot,r5,5.0,16.0,805285.0,95960.0,209120.0,0.1191627808788193,0.25968445953916935,9.17253482221294e-05,40.375106308321705,1.0522151384096179e-05,49.77895454220605,1.0641369971071283e-05,49.73002457325117,42.71995212067343,0.46086935234487475,0.04071723500327136,0.05222171182546566
full_88blocks_v2,R03_32k8k_L8192,8K,32k8k,8192,8i,Redandblack,x_low,0.0,8.0,757691.0,14888.0,14888.0,0.01964917096811233,0.01964917096811233,1.238936820176612e-06,59.069508399905814,1.2745863780230522e-06,58.94630727297417,1.2971265406851253e-06,58.87017654416616,59.0291917770719,0.47155585649092147,,
full_88blocks_v2,R03_32k8k_L8192,8K,32k8k,8192,8i,Redandblack,r1,1.0,8.0,757691.0,3128.0,18016.0,0.004128331998136443,0.023777502966248774,0.0001686937256081102,37.72901070252902,4.177871666987135e-05,43.79044904512562,0.0008959821302353015,30.47700651964652,37.58018997249328,0.47154408144262744,0.05786146337379685,0.09182717195689005
full_88blocks_v2,R03_32k8k_L8192,8K,32k8k,8192,8i,Redandblack,r2,2.0,8.0,757691.0,13424.0,31440.0,0.01771698489225819,0.041494487858506963,0.00018766346468587896,37.26620269892032,6.332286191728455e-05,41.98439465148962,0.0009305085636359599,30.312796256253918,36.98680088765818,0.47131425812564653,0.05973207386012756,0.12140636864236436
full_88blocks_v2,R03_32k8k_L8192,8K,32k8k,8192,8i,Redandblack,r3,3.0,8.0,757691.0,43160.0,74600.0,0.056962534859197216,0.09845702271770418,0.00015639482230091385,38.057776290470414,6.98222862055364e-05,41.56005935095119,0.0005564865096964393,32.54545359335398,37.80652133589096,0.4718960851719395,0.057863416815334655,0.11771274834147624
full_88blocks_v2,R03_32k8k_L8192,8K,32k8k,8192,8i,Redandblack,r4,4.0,8.0,757691.0,112920.0,187520.0,0.1490317292933399,0.2474887520110441,0.00012305877887159973,39.09887398787704,6.178535332319861e-05,42.09114465442109,0.00021978233830258206,36.58007210392587,39.15805758570115,0.47245509230251403,0.05349893860361278,0.09677506974134246
full_88blocks_v2,R03_32k8k_L8192,8K,32k8k,8192,8i,Redandblack,r5,5.0,8.0,757691.0,195856.0,383376.0,0.25849059841016986,0.5059793504212139,0.00010124728994402504,39.94616592588426,5.29742543463592e-05,42.75935147605195,0.00010826319113020918,39.65519175935003,40.26144234883844,0.47277782199548096,0.047199009818178074,0.06802139570808445
full_88blocks_v2,R03_32k8k_L8192,8K,32k8k,8192,8i,Soldier,x_low,0.0,16.0,1089091.0,21912.0,21912.0,0.02011953087483048,0.02011953087483048,1.2414677506970334e-06,59.06064557524023,1.2664291230922865e-06,58.97419110896138,1.2744493426179343e-06,58.946774223828115,59.035604848028854,0.4762915390683843,,
full_88blocks_v2,R03_32k8k_L8192,8K,32k8k,8192,8i,Soldier,r1,1.0,16.0,1089091.0,5600.0,27512.0,0.005141902742746015,0.025261433617576493,0.00025188545321181213,35.987969129793036,1.2247633135341919e-05,49.11947830938374,1.097348346574227e-05,49.596554863904814,39.330480994005846,0.4752610408061032,0.048555912760159865,0.08904315392990692
full_88blocks_v2,R03_32k8k_L8192,8K,32k8k,8192,8i,Soldier,r2,2.0,16.0,1089091.0,21328.0,48840.0,0.019583303874515536,0.04484473749209203,0.00028019211808658333,35.52544085751349,1.5232236451446463e-05,48.172363273129754,1.3233940885997086e-05,48.78310809615546,38.76351456429577,0.47508163506999906,0.04568063470211038,0.08693121329464062
