dataset,sample,operating_point,base_bpp,full_bpp,delta_bpp,base_Y,full_Y,delta_Y,base_YUV611,full_YUV611,delta_YUV611,pending_sample
CTC,Thaidancer_viewdep_vox12,32k,0.41931943971899693,1.0358036109340731,0.6164841712150761,40.0048,46.2028,6.198,41.371075000000005,46.139812500000005,4.7687375,False
CTC,Thaidancer_viewdep_vox12,4k,0.30246868026637147,0.3101767769945515,0.007708096728180014,38.5012,38.634,0.13280000000000314,39.791974999999994,39.8819375,0.08996250000000572,False
CTC,Thaidancer_viewdep_vox12,512,0.1046215675281091,0.10661759655486923,0.001996029026760132,32.7822,32.8887,0.10649999999999693,34.4678625,34.55255,0.08468749999999403,False
CTC,Thaidancer_viewdep_vox12,8k,0.25498567989738724,0.3622677675495134,0.10728208765212616,37.4562,39.1388,1.6826000000000008,38.925475000000006,40.2822875,1.3568124999999966,False
CTC,basketball_player_vox11_00000200,16k,0.11311789996561288,0.21191216312757347,0.09879426316196059,39.93,42.079,2.149000000000001,41.7166125,43.4072875,1.690675000000006,False
CTC,basketball_player_vox11_00000200,1k,0.04338382930315835,0.045352714087165534,0.0019688847840071827,37.0848,37.2209,0.136099999999999,39.186175,39.2930375,0.1068624999999983,False
CTC,basketball_player_vox11_00000200,2k,0.0648774881952368,0.06929654071045294,0.00441905251521614,38.5861,38.87,0.2838999999999956,40.4528125,40.66833749999999,0.21552499999999242,False
CTC,basketball_player_vox11_00000200,32k,0.1516205357417534,0.6238766931212771,0.47225615737952376,40.5237,45.9142,5.390500000000003,42.263175000000004,46.3330625,4.069887499999993,False
CTC,basketball_player_vox11_00000200,4k,0.09312551572133991,0.10157257835717073,0.008447062635830824,39.2754,39.8399,0.5645000000000024,41.04085,41.450275000000005,0.4094250000000059,False
CTC,basketball_player_vox11_00000200,512,0.034247656992925,0.03484105699032717,0.0005933999974021692,35.9482,36.0183,0.0701000000000036,38.2939875,38.345575,0.05158749999999657,False
CTC,basketball_player_vox11_00000200,8k,0.08238962452410072,0.13178675610508103,0.049397131580980316,39.0252,40.5391,1.5138999999999996,40.9120625,42.0795875,1.1675250000000048,False
CTC,boxer_viewdep_vox12,16k,0.18287559564110234,0.19176630399775557,0.008890708356653232,41.6648,41.7515,0.08670000000000044,43.9701875,44.0422625,0.07207499999999811,False
CTC,boxer_viewdep_vox12,1k,0.0896605722448781,0.08983921089810297,0.00017863865322487182,38.7531,38.839,0.0858999999999952,41.47101250000001,41.5509375,0.0799249999999958,False
CTC,boxer_viewdep_vox12,2k,0.14781432458700547,0.1488128688537496,0.0009985442667441446,41.0594,41.1147,0.05530000000000257,43.2800125,43.280474999999996,0.00046249999999758984,False
CTC,boxer_viewdep_vox12,32k,0.23356545861323158,0.5529003731658405,0.31933491455260893,42.7155,44.2294,1.5138999999999996,44.81145,45.92565,1.1141999999999967,False
CTC,boxer_viewdep_vox12,4k,0.17260158284152832,0.17366883428258975,0.0010672514410614287,40.7743,40.8033,0.029000000000003467,43.246787499999996,43.238625,-0.008162499999997408,False
CTC,boxer_viewdep_vox12,512,0.07527328994284421,0.07529161185599549,1.8321913151278513e-05,37.9966,38.0058,0.009199999999999875,40.801300000000005,40.8667,0.0653999999999968,False
CTC,boxer_viewdep_vox12,8k,0.1413535599620393,0.14451408998063317,0.003160530018593871,40.3942,40.3901,-0.004100000000001103,42.963825,42.9608125,-0.003012499999996976,False
CTC,dancer_vox11_00000001,16k,0.13722530216857878,0.25106855325487376,0.11384325108629498,39.4002,41.59,2.1898000000000053,41.4846875,43.209787500000004,1.7251000000000047,False
CTC,dancer_vox11_00000001,1k,0.05328071497609881,0.05587254961704872,0.0025918346409499055,36.1805,36.3351,0.15459999999999496,38.48765,38.6067125,0.1190624999999983,False
CTC,dancer_vox11_00000001,2k,0.081260187028639,0.08629575147391311,0.005035564445274102,37.9012,38.2005,0.29929999999999524,39.99465000000001,40.222737499999994,0.22808749999998668,False
CTC,dancer_vox11_00000001,32k,0.1815487600462519,0.7206750495032702,0.5391262894570183,40.0189,45.4021,5.383199999999995,42.058462500000005,46.1267875,4.068324999999994,False
