dataset,sample,metric,ours_point,ours_bpp,ours_quality,official_interpolated_quality,delta_vs_official
CTC,longdress_viewdep_vox12,yuv_psnr_611,4k,0.7420922043769593,39.464712500000005,39.75591904203943,-0.29120654203942564
CTC,longdress_viewdep_vox12,yuv_psnr_611,512,0.2882005295656954,34.667587499999996,34.506227156545506,0.1613603434544899
CTC,longdress_viewdep_vox12,yuv_psnr_611,8k,0.6421943321354908,38.927262500000005,38.06280024284504,0.8644622571549618
CTC,loot_viewdep_vox12,y_psnr,16k,0.17053742023043894,42.9975,42.951480576341076,0.04601942365892597
CTC,loot_viewdep_vox12,y_psnr,1k,0.10667073213170118,39.6604,39.4753,0.1851000000000056
CTC,loot_viewdep_vox12,y_psnr,2k,0.158391401541452,42.6071,42.34084927765438,0.2662507223456245
CTC,loot_viewdep_vox12,y_psnr,4k,0.1559415169597834,41.8479,42.19988233992952,-0.35198233992952055
CTC,loot_viewdep_vox12,y_psnr,512,0.08737921674618075,38.473,38.3593,0.11370000000000147
CTC,loot_viewdep_vox12,y_psnr,8k,0.13680643359841713,41.3224,41.407309729944416,-0.08490972994441393
CTC,loot_viewdep_vox12,yuv_psnr_611,16k,0.17053742023043894,45.4892375,45.426183435802805,0.06305406419719617
CTC,loot_viewdep_vox12,yuv_psnr_611,1k,0.10667073213170118,42.5003375,41.995225,0.5051125000000027
CTC,loot_viewdep_vox12,yuv_psnr_611,2k,0.158391401541452,44.758925000000005,44.89235849869959,-0.13343349869958843
CTC,loot_viewdep_vox12,yuv_psnr_611,4k,0.1559415169597834,44.44005,44.76685148267069,-0.32680148267068887
CTC,loot_viewdep_vox12,yuv_psnr_611,512,0.08737921674618075,41.6178625,41.310225,0.30763749999999845
CTC,loot_viewdep_vox12,yuv_psnr_611,8k,0.13680643359841713,44.15265,44.17259887958301,-0.019948879583012058
CTC,redandblack_viewdep_vox12,y_psnr,16k,0.3863931101467678,42.0496,42.07019751021814,-0.020597510218138382
CTC,redandblack_viewdep_vox12,y_psnr,1k,0.18403741905537746,38.0807,37.8545635976511,0.22613640234889942
CTC,redandblack_viewdep_vox12,y_psnr,2k,0.30350177418557284,40.3964,40.6536033227551,-0.25720332275510316
CTC,redandblack_viewdep_vox12,y_psnr,4k,0.3349090637403824,41.1733,40.648523559736745,0.5247764402632527
CTC,redandblack_viewdep_vox12,y_psnr,512,0.14862228561879212,37.3452,36.99341800543291,0.3517819945670908
CTC,redandblack_viewdep_vox12,y_psnr,8k,0.2859717884461917,40.6779,40.68472106005691,-0.006821060056907413
CTC,redandblack_viewdep_vox12,yuv_psnr_611,16k,0.3863931101467678,42.391225,42.40420960520316,-0.01298460520315814
CTC,redandblack_viewdep_vox12,yuv_psnr_611,1k,0.18403741905537746,38.30655,38.013028813790406,0.29352118620959544
CTC,redandblack_viewdep_vox12,yuv_psnr_611,2k,0.30350177418557284,40.524075,40.965894975738046,-0.4418199757380421
CTC,redandblack_viewdep_vox12,yuv_psnr_611,4k,0.3349090637403824,41.565374999999996,40.73911768079279,0.8262573192072082
CTC,redandblack_viewdep_vox12,yuv_psnr_611,512,0.14862228561879212,37.669675,37.28791221151857,0.3817627884814314
CTC,redandblack_viewdep_vox12,yuv_psnr_611,8k,0.2859717884461917,41.16235,41.139248620599375,0.02310137940062873
CTC,soldier_viewdep_vox12,y_psnr,16k,0.3316965510623592,41.3636,41.4022489988685,-0.038648998868502815
CTC,soldier_viewdep_vox12,y_psnr,1k,0.17556101649426725,37.3036,37.21833973158174,0.08526026841825995
