dataset,sample,method,endpoint,operating_point,physical_bits,physical_bpp,Y,U,V,YUV611,reconstruction_sha256,result_set
CTC,longdress_viewdep_vox12,Original_Unicorn,Original Unicorn,R06,1123680,0.36293143487239843,34.5552,39.1121,37.3255,35.4711,464290ed6350f55ab1b81160ed61cd3d1765d7a230b21524153d8d17a080f4cd,retained_formal
CTC,longdress_viewdep_vox12,Original_Unicorn,Original Unicorn,R07,894208,0.28881549241276666,33.4491,38.6133,36.8207,34.516075,754714aceb8f3f95ff49da65b8d977572a294c069f74b6dd9589da7808f6f11d,retained_formal
CTC,longdress_viewdep_vox12,Original_Unicorn,Original Unicorn,R08,704776,0.22763185688419255,32.2093,37.9691,36.1049,33.416225,084c221e23ddf9b6bab4e2aa2b0149d8fb82fdad3a1cc60f661cee313704d5a7,retained_formal
CTC,longdress_viewdep_vox12,Original_Unicorn,Original Unicorn,R09,569208,0.18384546862171453,31.0329,37.1195,35.4101,32.340875000000004,5dad9ed1e194718716641ef0a88235d3a81a49649cd6d2d199d5a8b0cc44060c,retained_formal
CTC,loot_viewdep_vox12,Original_Unicorn,Original Unicorn,R01,642872,0.21306306828821275,44.2702,53.3827,53.128,46.516487500000004,74a8f2379893a627ea479c3bf32eb29ed322299773ef7c2c50a1cf70036ab6fe,retained_formal
CTC,loot_viewdep_vox12,Original_Unicorn,Original Unicorn,R02,513048,0.17003630747509765,42.9824,53.023,52.791,45.463550000000005,1c8445ff28302b7dc8483ddec929afd0b6a7ce2590d276b690ece67116d67a80,retained_formal
CTC,loot_viewdep_vox12,Original_Unicorn,Original Unicorn,R03,414104,0.13724391298800082,41.4321,52.5519,52.4598,44.200537499999996,6e2eb660597afad581cdacb8d790f759453b78ecdb1323eb4f192772b9984443,retained_formal
CTC,loot_viewdep_vox12,Original_Unicorn,Original Unicorn,R04,539576,0.1788283175106097,42.4527,50.9493,52.9217,44.8234,e2a5da80fea80a12bdbd79b110e07210fdf514423cdc5b67de46d563b38e8535,retained_formal
CTC,loot_viewdep_vox12,Original_Unicorn,Original Unicorn,R05,415192,0.13760450206062735,41.0686,51.3157,52.3498,43.759637500000004,964fd935899a5735cc4a7b5615fd6e2b1a4a374ce25481a10223ca7da5d846f2,retained_formal
CTC,loot_viewdep_vox12,Original_Unicorn,Original Unicorn,R06,321856,0.10667073213170118,39.4753,47.9299,51.1801,41.995225,7254dc8cd8d39e5361d87df29103f576adfe1b941d1e8730ae4a42fbf88b4224,retained_formal
CTC,loot_viewdep_vox12,Original_Unicorn,Original Unicorn,R07,263648,0.08737921674618075,38.3593,49.5319,50.7941,41.310225,e4cb35322dc065d9fb202c22209283fff340b8238cc46dd4c1b7df4e47c3002e,retained_formal
CTC,loot_viewdep_vox12,Original_Unicorn,Original Unicorn,R08,227360,0.07535251061798935,37.28,49.6582,50.2319,40.4462625,1f9d308a5f9a998f7adbfc1987b3f29420cffbb532136888c0c59584ee38e259,retained_formal
CTC,loot_viewdep_vox12,Original_Unicorn,Original Unicorn,R09,205896,0.0682388306043347,36.2236,47.7503,50.2544,39.41828749999999,73d9e4dbf52e6ec18434de32ca737aafa900ffe957a431c155c10c03279aa49f,retained_formal
CTC,redandblack_viewdep_vox12,Original_Unicorn,Original Unicorn,R01,1397200,0.5043011051528442,43.1544,45.4783,42.4625,43.358399999999996,1418d9f09683de267739328b60925172056dab089ef7ac51ec15fd3d83a4cb9c,retained_formal
CTC,redandblack_viewdep_vox12,Original_Unicorn,Original Unicorn,R02,1055800,0.3810772307617899,42.0138,44.9051,41.8487,42.354575000000004,13c2ec9bbc520682017eae59de25d4102777203dd32c66789ee4f34e50d7e061,retained_formal
CTC,redandblack_viewdep_vox12,Original_Unicorn,Original Unicorn,R03,795296,0.28705171179762123,40.7241,44.2114,40.9521,41.1885125,7cfa80eef7b4d7a44e15b14cea3c8e6096f2773e7a21a922763fdde8ccd55ee2,retained_formal
CTC,redandblack_viewdep_vox12,Original_Unicorn,Original Unicorn,R04,918568,0.3315451313756354,40.5418,42.8598,38.7921,40.612837500000005,167dd0d26957c6ccf456f6495b68dcadc9490c5bdd99a235550b502600ea1381,retained_formal
CTC,redandblack_viewdep_vox12,Original_Unicorn,Original Unicorn,R05,715688,0.25831824316105695,39.6222,42.5699,38.177,39.810012500000006,0841130d9a792e95e23af5f2680c43441e77980f1e439e0c2c8f223a94f78a0f,retained_formal
CTC,redandblack_viewdep_vox12,Original_Unicorn,Original Unicorn,R06,509872,0.18403164406419337,37.8544,40.9994,35.9771,38.0128625,141ed856f8a847e02a91cfd17561afb2369626fa74a15ab9170317ff21f7d65f,retained_formal
CTC,redandblack_viewdep_vox12,Original_Unicorn,Original Unicorn,R07,412704,0.14896012260306285,37.0029,40.8882,35.4595,37.2956375,29bac5f7337ccd5b0f03bc2221973a37fff64d344459d5e0c760baf96040e322,retained_formal
CTC,redandblack_viewdep_vox12,Original_Unicorn,Original Unicorn,R08,342760,0.12371474864170402,36.2274,41.025,34.9211,36.663812500000006,6f7fee20196d2322982301de0127cff67fa238058558a544645f2a8cd5593c0d,retained_formal
